----- Initial parameters: -----
fcn value: -420.0823 
     parameter initial gradient free
[1,]    40.100        0.6639132    1
[2,]  1100.000       -0.1140057    1
[3,]     0.035      761.3512444    1
Condition number of the (active) hessian: 856464163 
lam= 41.10928 ,nu= NaN ,phi= 964.9794 ,omega= 0.03561261 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.99 ,omega= 0.03568224 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9952 ,omega= 0.03571705 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9979 ,omega= 0.03573446 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9992 ,omega= 0.03574316 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9999 ,omega= 0.03574751 ,f= NaN ,
lam= 41.10928 ,nu= 4.059998 ,phi= 965.0002 ,omega= 0.03574969 ,f= -408.9812 ,
lam= 41.10928 ,nu= 4.059998 ,phi= 965.0002 ,omega= 0.03574969 ,f= -408.9812 ,
-----Iteration 6 -----
lam= 41.10925 ,nu= NaN ,phi= 938.956 ,omega= -0.03248448 ,f= NaN ,
lam= 41.10926 ,nu= NaN ,phi= 951.9781 ,omega= 0.001632603 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 958.4891 ,omega= 0.01869115 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 961.7447 ,omega= 0.02722042 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 963.3724 ,omega= 0.03148505 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.1863 ,omega= 0.03361737 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.5933 ,omega= 0.03468353 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.7967 ,omega= 0.03521661 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.8985 ,omega= 0.03548315 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9493 ,omega= 0.03561642 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9748 ,omega= 0.03568306 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9875 ,omega= 0.03571637 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9938 ,omega= 0.03573303 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.997 ,omega= 0.03574136 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9986 ,omega= 0.03574553 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9994 ,omega= 0.03574761 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9998 ,omega= 0.03574865 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574917 ,f= NaN ,
lam= 41.10928 ,nu= 4.052647 ,phi= 965.0001 ,omega= 0.03574943 ,f= -408.3905 ,
lam= 41.10928 ,nu= 4.052647 ,phi= 965.0001 ,omega= 0.03574943 ,f= -408.3905 ,
-----Iteration 7 -----
lam= 41.10925 ,nu= NaN ,phi= 914.8091 ,omega= -0.03028818 ,f= NaN ,
lam= 41.10926 ,nu= NaN ,phi= 939.9046 ,omega= 0.002730623 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 952.4523 ,omega= 0.01924003 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 958.7262 ,omega= 0.02749473 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 961.8632 ,omega= 0.03162208 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 963.4316 ,omega= 0.03368575 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.2159 ,omega= 0.03471759 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.608 ,omega= 0.03523351 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.804 ,omega= 0.03549147 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9021 ,omega= 0.03562045 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9511 ,omega= 0.03568494 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9756 ,omega= 0.03571719 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9878 ,omega= 0.03573331 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.994 ,omega= 0.03574137 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.997 ,omega= 0.0357454 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9986 ,omega= 0.03574741 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9993 ,omega= 0.03574842 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9997 ,omega= 0.03574893 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9999 ,omega= 0.03574918 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.0357493 ,f= NaN ,
lam= 41.10928 ,nu= 4.045189 ,phi= 965 ,omega= 0.03574937 ,f= -407.8062 ,
lam= 41.10928 ,nu= 4.045189 ,phi= 965 ,omega= 0.03574937 ,f= -407.8062 ,
-----Iteration 8 -----
lam= 41.10925 ,nu= NaN ,phi= 868.2832 ,omega= -0.02817188 ,f= NaN ,
lam= 41.10926 ,nu= NaN ,phi= 916.6416 ,omega= 0.003788746 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 940.8208 ,omega= 0.01976906 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 952.9104 ,omega= 0.02775921 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 958.9552 ,omega= 0.03175429 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 961.9776 ,omega= 0.03375183 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 963.4888 ,omega= 0.0347506 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.2444 ,omega= 0.03524998 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.6222 ,omega= 0.03549967 ,f= NaN ,
