----- Initial parameters: -----
fcn value: -420.0871 
     parameter initial gradient free
[1,]    40.100       0.66455403    1
[2,]  1500.000      -0.08345809    1
[3,]     0.035     761.38905798    1
Condition number of the (active) hessian: 1943933506 
lam= 42.89729 ,nu= NaN ,phi= 957.508 ,omega= 0.003839557 ,f= NaN ,
lam= 42.89672 ,nu= NaN ,phi= 961.2683 ,omega= 0.02138919 ,f= NaN ,
lam= 42.89643 ,nu= NaN ,phi= 963.1484 ,omega= 0.030164 ,f= NaN ,
lam= 42.89629 ,nu= NaN ,phi= 964.0885 ,omega= 0.03455141 ,f= NaN ,
lam= 42.89621 ,nu= NaN ,phi= 964.5585 ,omega= 0.03674511 ,f= NaN ,
lam= 42.89618 ,nu= NaN ,phi= 964.7935 ,omega= 0.03784197 ,f= NaN ,
lam= 42.89616 ,nu= NaN ,phi= 964.9111 ,omega= 0.03839039 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9698 ,omega= 0.03866461 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9992 ,omega= 0.03880171 ,f= NaN ,
lam= 42.89614 ,nu= 4.71136 ,phi= 965.0139 ,omega= 0.03887027 ,f= -411.1592 ,
lam= 42.89614 ,nu= 4.71136 ,phi= 965.0139 ,omega= 0.03887027 ,f= -411.1592 ,
-----Iteration 8 -----
lam= 42.89666 ,nu= NaN ,phi= 957.8529 ,omega= -0.02921427 ,f= NaN ,
lam= 42.8964 ,nu= NaN ,phi= 961.4334 ,omega= 0.004828 ,f= NaN ,
lam= 42.89627 ,nu= NaN ,phi= 963.2236 ,omega= 0.02184913 ,f= NaN ,
lam= 42.89621 ,nu= NaN ,phi= 964.1188 ,omega= 0.0303597 ,f= NaN ,
lam= 42.89618 ,nu= NaN ,phi= 964.5663 ,omega= 0.03461498 ,f= NaN ,
lam= 42.89616 ,nu= NaN ,phi= 964.7901 ,omega= 0.03674262 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.902 ,omega= 0.03780644 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9579 ,omega= 0.03833835 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9859 ,omega= 0.03860431 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9999 ,omega= 0.03873729 ,f= NaN ,
lam= 42.89615 ,nu= 4.693243 ,phi= 965.0069 ,omega= 0.03880378 ,f= -410.607 ,
lam= 42.89615 ,nu= 4.693243 ,phi= 965.0069 ,omega= 0.03880378 ,f= -410.607 ,
-----Iteration 9 -----
lam= 42.89625 ,nu= NaN ,phi= 961.1382 ,omega= -0.02728073 ,f= NaN ,
lam= 42.8962 ,nu= NaN ,phi= 963.0725 ,omega= 0.005761523 ,f= NaN ,
lam= 42.89617 ,nu= NaN ,phi= 964.0397 ,omega= 0.02228265 ,f= NaN ,
lam= 42.89616 ,nu= NaN ,phi= 964.5233 ,omega= 0.03054321 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.7651 ,omega= 0.03467349 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.886 ,omega= 0.03673864 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9464 ,omega= 0.03777121 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9767 ,omega= 0.03828749 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9918 ,omega= 0.03854563 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9993 ,omega= 0.03867471 ,f= NaN ,
lam= 42.89615 ,nu= 4.674062 ,phi= 965.0031 ,omega= 0.03873924 ,f= -409.9837 ,
lam= 42.89615 ,nu= 4.674062 ,phi= 965.0031 ,omega= 0.03873924 ,f= -409.9837 ,
-----Iteration 10 -----
lam= 42.89614 ,nu= NaN ,phi= 962.2478 ,omega= -0.02517687 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 963.6254 ,omega= 0.006781183 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.3143 ,omega= 0.02276021 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.6587 ,omega= 0.03074973 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.8309 ,omega= 0.03474448 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.917 ,omega= 0.03674186 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9601 ,omega= 0.03774055 ,f= NaN ,
