----- Initial parameters: -----
fcn value: -420.087 
     parameter initial gradient free
[1,]    40.100        0.6645523    1
[2,]  1300.000       -0.0962980    1
[3,]     0.035      761.3890117    1
Condition number of the (active) hessian: 1459080813 
lam= 44.46079 ,nu= NaN ,phi= 700.9998 ,omega= 0.03886814 ,f= NaN ,
lam= 42.2804 ,nu= 4.703697 ,phi= 1000.5 ,omega= 0.03693407 ,f= -417.6813 ,
lam= 42.2804 ,nu= 4.703697 ,phi= 1000.5 ,omega= 0.03693407 ,f= -417.6813 ,
-----Iteration 1 -----
lam= 40.41701 ,nu= NaN ,phi= 731.003 ,omega= 0.04177467 ,f= NaN ,
lam= 41.3487 ,nu= NaN ,phi= 865.7514 ,omega= 0.03935437 ,f= NaN ,
lam= 41.81455 ,nu= NaN ,phi= 933.1257 ,omega= 0.03814422 ,f= NaN ,
lam= 42.04747 ,nu= 4.492492 ,phi= 966.8128 ,omega= 0.03753915 ,f= -415.5314 ,
lam= 42.04747 ,nu= 4.492492 ,phi= 966.8128 ,omega= 0.03753915 ,f= -415.5314 ,
-----Iteration 2 -----
lam= 46.28853 ,nu= NaN ,phi= -103.1324 ,omega= -0.01793847 ,f= NaN ,
lam= 44.168 ,nu= NaN ,phi= 431.8402 ,omega= 0.00980034 ,f= NaN ,
lam= 43.10774 ,nu= NaN ,phi= 699.3265 ,omega= 0.02366974 ,f= NaN ,
lam= 42.57761 ,nu= NaN ,phi= 833.0696 ,omega= 0.03060445 ,f= NaN ,
lam= 42.31254 ,nu= NaN ,phi= 899.9412 ,omega= 0.0340718 ,f= NaN ,
lam= 42.18001 ,nu= NaN ,phi= 933.377 ,omega= 0.03580547 ,f= NaN ,
lam= 42.11374 ,nu= NaN ,phi= 950.0949 ,omega= 0.03667231 ,f= NaN ,
lam= 42.08061 ,nu= NaN ,phi= 958.4538 ,omega= 0.03710573 ,f= NaN ,
lam= 42.06404 ,nu= NaN ,phi= 962.6333 ,omega= 0.03732244 ,f= NaN ,
lam= 42.05576 ,nu= NaN ,phi= 964.723 ,omega= 0.03743079 ,f= NaN ,
lam= 42.05162 ,nu= 4.470265 ,phi= 965.7679 ,omega= 0.03748497 ,f= -414.8368 ,
lam= 42.05162 ,nu= 4.470265 ,phi= 965.7679 ,omega= 0.03748497 ,f= -414.8368 ,
-----Iteration 3 -----
lam= 43.40842 ,nu= NaN ,phi= 370.398 ,omega= -0.03755911 ,f= NaN ,
lam= 42.73002 ,nu= NaN ,phi= 668.083 ,omega= -3.706816e-05 ,f= NaN ,
lam= 42.39082 ,nu= NaN ,phi= 816.9254 ,omega= 0.01872395 ,f= NaN ,
lam= 42.22122 ,nu= NaN ,phi= 891.3467 ,omega= 0.02810446 ,f= NaN ,
lam= 42.13642 ,nu= NaN ,phi= 928.5573 ,omega= 0.03279471 ,f= NaN ,
lam= 42.09402 ,nu= NaN ,phi= 947.1626 ,omega= 0.03513984 ,f= NaN ,
lam= 42.07282 ,nu= NaN ,phi= 956.4653 ,omega= 0.03631241 ,f= NaN ,
lam= 42.06222 ,nu= NaN ,phi= 961.1166 ,omega= 0.03689869 ,f= NaN ,
lam= 42.05692 ,nu= NaN ,phi= 963.4422 ,omega= 0.03719183 ,f= NaN ,
lam= 42.05427 ,nu= NaN ,phi= 964.6051 ,omega= 0.0373384 ,f= NaN ,
lam= 42.05294 ,nu= 4.442956 ,phi= 965.1865 ,omega= 0.03741168 ,f= -413.6769 ,
lam= 42.05294 ,nu= 4.442956 ,phi= 965.1865 ,omega= 0.03741168 ,f= -413.6769 ,
-----Iteration 4 -----
lam= 42.15102 ,nu= NaN ,phi= 821.3304 ,omega= -0.0423694 ,f= NaN ,
lam= 42.10198 ,nu= NaN ,phi= 893.2584 ,omega= -0.002478856 ,f= NaN ,
lam= 42.07746 ,nu= NaN ,phi= 929.2225 ,omega= 0.01746641 ,f= NaN ,
lam= 42.0652 ,nu= NaN ,phi= 947.2045 ,omega= 0.02743905 ,f= NaN ,
lam= 42.05907 ,nu= NaN ,phi= 956.1955 ,omega= 0.03242537 ,f= NaN ,
lam= 42.05601 ,nu= NaN ,phi= 960.691 ,omega= 0.03491853 ,f= NaN ,
lam= 42.05447 ,nu= NaN ,phi= 962.9387 ,omega= 0.0361651 ,f= NaN ,
lam= 42.05371 ,nu= NaN ,phi= 964.0626 ,omega= 0.03678839 ,f= NaN ,
lam= 42.05332 ,nu= NaN ,phi= 964.6246 ,omega= 0.03710004 ,f= NaN ,
lam= 42.05313 ,nu= NaN ,phi= 964.9055 ,omega= 0.03725586 ,f= NaN ,
lam= 42.05304 ,nu= 4.417744 ,phi= 965.046 ,omega= 0.03733377 ,f= -412.5357 ,
lam= 42.05304 ,nu= 4.417744 ,phi= 965.046 ,omega= 0.03733377 ,f= -412.5357 ,
-----Iteration 5 -----
lam= 42.05908 ,nu= NaN ,phi= 932.8895 ,omega= -0.03929516 ,f= NaN ,
lam= 42.05606 ,nu= NaN ,phi= 948.9678 ,omega= -0.0009806943 ,f= NaN ,
lam= 42.05455 ,nu= NaN ,phi= 957.0069 ,omega= 0.01817654 ,f= NaN ,
lam= 42.05379 ,nu= NaN ,phi= 961.0265 ,omega= 0.02775516 ,f= NaN ,
lam= 42.05341 ,nu= NaN ,phi= 963.0362 ,omega= 0.03254446 ,f= NaN ,
lam= 42.05323 ,nu= NaN ,phi= 964.0411 ,omega= 0.03493912 ,f= NaN ,
lam= 42.05313 ,nu= NaN ,phi= 964.5436 ,omega= 0.03613645 ,f= NaN ,
lam= 42.05308 ,nu= NaN ,phi= 964.7948 ,omega= 0.03673511 ,f= NaN ,
lam= 42.05306 ,nu= NaN ,phi= 964.9204 ,omega= 0.03703444 ,f= NaN ,
lam= 42.05305 ,nu= NaN ,phi= 964.9832 ,omega= 0.03718411 ,f= NaN ,
lam= 42.05304 ,nu= 4.395917 ,phi= 965.0146 ,omega= 0.03725894 ,f= -411.6109 ,
