----- Initial parameters: -----
fcn value: -632.6413 
     parameter initial gradient free
[1,]    40.100       -0.2520243    1
[2,]  1100.000       -0.1782014    1
[3,]     0.035     -282.3027218    1
Condition number of the (active) hessian: 496830626 
lam= 38.88886 ,nu= NaN ,phi= 1021.263 ,omega= 0.03198053 ,f= NaN ,
lam= 38.88881 ,nu= NaN ,phi= 1021.644 ,omega= 0.03306333 ,f= NaN ,
lam= 38.88879 ,nu= NaN ,phi= 1021.834 ,omega= 0.03360473 ,f= NaN ,
lam= 38.88878 ,nu= NaN ,phi= 1021.929 ,omega= 0.03387542 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.977 ,omega= 0.03401077 ,f= NaN ,
lam= 38.88877 ,nu= 4.840393 ,phi= 1022.001 ,omega= 0.03407845 ,f= -622.6518 ,
lam= 38.88877 ,nu= 4.840393 ,phi= 1022.001 ,omega= 0.03407845 ,f= -622.6518 ,
-----Iteration 7 -----
lam= 38.88874 ,nu= NaN ,phi= 1014.602 ,omega= -0.0247116 ,f= NaN ,
lam= 38.88875 ,nu= NaN ,phi= 1018.301 ,omega= 0.004683426 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 1020.151 ,omega= 0.01938094 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 1021.076 ,omega= 0.02672969 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 1021.538 ,omega= 0.03040407 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.769 ,omega= 0.03224126 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.885 ,omega= 0.03315985 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.943 ,omega= 0.03361915 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.972 ,omega= 0.0338488 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.986 ,omega= 0.03396362 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.993 ,omega= 0.03402104 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.997 ,omega= 0.03404974 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.999 ,omega= 0.0340641 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.03407127 ,f= NaN ,
lam= 38.88877 ,nu= 4.822481 ,phi= 1022 ,omega= 0.03407486 ,f= -621.0696 ,
lam= 38.88877 ,nu= 4.822481 ,phi= 1022 ,omega= 0.03407486 ,f= -621.0696 ,
-----Iteration 8 -----
lam= 38.88874 ,nu= NaN ,phi= 978.2819 ,omega= -0.01975512 ,f= NaN ,
lam= 38.88875 ,nu= NaN ,phi= 1000.141 ,omega= 0.007159872 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 1011.071 ,omega= 0.02061737 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 1016.535 ,omega= 0.02734611 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 1019.268 ,omega= 0.03071049 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1020.634 ,omega= 0.03239267 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.317 ,omega= 0.03323377 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.659 ,omega= 0.03365431 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.829 ,omega= 0.03386459 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.915 ,omega= 0.03396972 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.957 ,omega= 0.03402229 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.979 ,omega= 0.03404858 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.989 ,omega= 0.03406172 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.995 ,omega= 0.03406829 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.997 ,omega= 0.03407158 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.999 ,omega= 0.03407322 ,f= NaN ,
