fcn value: -1053.986 
     parameter initial gradient free
[1,]    40.100        0.4001871    1
[2,]  1250.000       -0.2550171    1
[3,]     0.035      458.6098942    1
Condition number of the (active) hessian: 1411335029 
lam= 36.31733 ,nu= NaN ,phi= 1021.948 ,omega= 0.03961046 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.974 ,omega= 0.03981088 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.987 ,omega= 0.03991109 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.994 ,omega= 0.03996119 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.997 ,omega= 0.03998624 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.999 ,omega= 0.03999877 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000503 ,f= NaN ,
lam= 36.31733 ,nu= 4.952076 ,phi= 1022 ,omega= 0.04000816 ,f= -1041.856 ,
lam= 36.31733 ,nu= 4.952076 ,phi= 1022 ,omega= 0.04000816 ,f= -1041.856 ,
-----Iteration 9 -----
lam= 36.31731 ,nu= NaN ,phi= 938.0757 ,omega= -0.004136932 ,f= NaN ,
lam= 36.31732 ,nu= NaN ,phi= 980.0378 ,omega= 0.01793562 ,f= NaN ,
lam= 36.31732 ,nu= NaN ,phi= 1001.019 ,omega= 0.02897189 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1011.509 ,omega= 0.03449003 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1016.755 ,omega= 0.0372491 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1019.377 ,omega= 0.03862863 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1020.689 ,omega= 0.0393184 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.344 ,omega= 0.03966328 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.672 ,omega= 0.03983572 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.836 ,omega= 0.03992194 ,f= NaN ,
