 42.28386 , 5.904045 , 1156.904 , 0.03693166 , -417.8943 ,
 42.89388 , 4.817663 , 965.8947 , 0.03922322 , -414.4978 ,
 42.89569 , 4.79396 , 965.374 , 0.03915519 , -413.7949 ,
 42.89607 , 4.770946 , 965.1478 , 0.0390822 , -413.0464 ,
 42.89613 , 4.74971 , 965.0624 , 0.03900954 , -412.355 ,
 42.89614 , 4.71136 , 965.0139 , 0.03887027 , -411.1592 ,
 42.89614 , 4.729988 , 965.0286 , 0.03893882 , -411.7313 ,
 42.89615 , 4.520359 , 965 , 0.03867478 , -403.0564 ,
 42.89615 , 4.520359 , 965 , 0.03867478 , -403.0564 ,
 42.89615 , 4.551743 , 965 , 0.03867478 , -404.3151 ,
 42.89615 , 4.571178 , 965 , 0.03867478 , -405.1523 ,
 42.89615 , 4.608732 , 965.0001 , 0.03867483 , -406.9114 ,
 42.89615 , 4.622683 , 965.0001 , 0.03867504 , -407.6162 ,
 42.89615 , 4.638168 , 965.0004 , 0.03867682 , -408.4244 ,
 42.89615 , 4.674062 , 965.0031 , 0.03873924 , -409.9837 ,
 42.89615 , 4.693243 , 965.0069 , 0.03880378 , -410.607 ,
 43.32194 , 5.253884 , 1030.588 , 0.03794361 , -417.2946 ,
